fixture,role,configuration,ground_truth,predicted_reps,absolute_rep_error,over_count,under_count,valid_frames,invalid_frames,valid_joint_rate,state_transitions,contraction_candidates,confirmed_contractions,rep_count_events,invalid_resets,tracking_recoveries,counts_during_tracking_failure,possible_duplicate_counts,partial_motion_false_positives,tracking_failure_false_counts,reset_observed,deterministic,result_hash
curl-normal-01,normal_regression,A_BASELINE,10,18,8,8,0,4395,0,1,54,18,18,18,0,0,2,8,,,,true,4757de116bd58293b3e09a173735901dd7ae60778023213fe229868c4304c11a
curl-normal-01,normal_regression,B_VALIDATION,10,16,6,6,0,2702,1693,0.6147895335608646,50,17,17,16,0,194,0,6,,,,true,5e8e292d647f8b16a87823b62c91959106e403ce373ffe99b5717c7ab2a3e9b0
curl-normal-01,normal_regression,C_SMOOTHING,10,16,6,6,0,2702,1693,0.6147895335608646,50,17,17,16,0,194,0,6,,,,true,94397d1959e52067a9dd80b5b4403924926ad37fa9466a83bcfbd32ebd12ce39
curl-normal-01,normal_regression,D_HYSTERESIS,10,16,6,6,0,2702,1693,0.6147895335608646,50,17,17,16,0,194,0,6,,,,true,70c597da22b2cec451ec08ad1bdaaca206bae2c5a7a7ed238287e2cc5a5c41f9
curl-normal-01,normal_regression,E_STABLE_FSM,10,15,5,5,0,2702,1693,0.6147895335608646,47,16,16,15,0,194,4,5,,,,true,cb09a205aba7a05d4d93030395f62de4f8ccd08123798b7f54856873e2dfe64b
curl-normal-01,normal_regression,F_FULL,10,13,3,3,0,2702,1693,0.6147895335608646,47,17,17,13,4,194,2,3,,,,true,437ea22b334e339f57f83f4455edd03a002d1cdd1f443ed11caf83f308ba8bea
curl-boundary-contraction-01,threshold_sensitivity,A_BASELINE,0,4,4,4,0,2419,0,1,12,4,4,4,0,0,0,,4,,,true,6cb8f7a6b5c4ff5a83663204bb974b0134bdc9d2428733afa85fe42abbb89a0e
curl-boundary-contraction-01,threshold_sensitivity,B_VALIDATION,0,4,4,4,0,1844,575,0.7622984704423316,12,4,4,4,0,52,0,,4,,,true,3ee10612d34c9d86a49561fc84adf61ca0f23929e91ddd9fabb47a4ab9cdd067
curl-boundary-contraction-01,threshold_sensitivity,C_SMOOTHING,0,3,3,3,0,1844,575,0.7622984704423316,9,3,3,3,0,52,0,,3,,,true,1672fbb4eb459bb14b731d19866af3ac9fa8b8b4f5402c157a7a6238d462bec1
curl-boundary-contraction-01,threshold_sensitivity,D_HYSTERESIS,0,3,3,3,0,1844,575,0.7622984704423316,9,3,3,3,0,52,0,,3,,,true,13e0c620ddbf52332a25cc28f86cc2d91cfb127def7120cddba5c146bebcd656
curl-boundary-contraction-01,threshold_sensitivity,E_STABLE_FSM,0,3,3,3,0,1844,575,0.7622984704423316,9,3,3,3,0,52,0,,3,,,true,29c890dd04c17f0c1ce642df043544d4b8c15045771f867474bfa0f2bf56f4eb
curl-boundary-contraction-01,threshold_sensitivity,F_FULL,0,3,3,3,0,1844,575,0.7622984704423316,9,3,3,3,1,52,0,,3,,,true,90f83664fcddbe6e2b6cd6ab777dab88696bc28e26623b9ecb32af112c0b7a7e
curl-tracking-failure-01,failure_safety,A_BASELINE,3,11,8,8,0,2240,0,1,33,11,11,11,0,0,9,,,9,false,true,e1652368664908cd81527635c23ed56857793d6906ac2906c30bfe5b908d4376
curl-tracking-failure-01,failure_safety,B_VALIDATION,3,3,0,0,0,278,1962,0.12410714285714286,9,3,3,3,0,44,2,,,2,false,true,193b2ee592dd81809e4800a6dd5b53f25b7caed8ef9ac2b7d0a2ff886ee3ff0a
curl-tracking-failure-01,failure_safety,C_SMOOTHING,3,2,1,0,1,278,1962,0.12410714285714286,6,2,2,2,0,44,0,,,0,false,true,25c25f368ad44baed028fb10db7200a294ccccb2b4fc6fac32cffac84d7341aa
curl-tracking-failure-01,failure_safety,D_HYSTERESIS,3,2,1,0,1,278,1962,0.12410714285714286,6,2,2,2,0,44,0,,,0,false,true,aefee2a1e129f712654b3844ccfe109c777ac3fd3a1e3dc6964dbeb5e507bfd1
curl-tracking-failure-01,failure_safety,E_STABLE_FSM,3,1,2,0,2,278,1962,0.12410714285714286,5,2,2,1,0,44,0,,,0,false,true,c35563e922d19a5b320bb7430689baac6c1d3026c5cc922f219aea12cf66ee51
curl-tracking-failure-01,failure_safety,F_FULL,3,1,2,0,2,278,1962,0.12410714285714286,9,4,4,1,9,44,0,,,0,true,true,b886cda3803025d4e6cc507580787099e61eb17cfad6e653c05590d46f528380
