cycle,rep,contraction_confirmed_at_ms,rep_counted_at_ms,duration_ms,raw_min_angle,raw_max_angle,processed_min_angle,processed_max_angle,observed_processed_rom,contraction_hold_ms,extension_hold_ms,invalid_duration_ms,max_consecutive_invalid_ms,reset_count,recovery_count,gap_from_previous_rep_ms,time_since_reset_at_start_ms,time_since_recovery_at_start_ms,nearest_browser_rep_at_ms,nearest_browser_rep_distance_ms,diagnostic_flags
1,1,11059.30000000447,13861.20000000298,2801.89999999851,17.373067770722958,165.83806652925773,18.149815473899565,164.9110145608403,146.76119908694074,275.5,191.89999999850988,699.8999999910593,198.19999999552965,0,11,,,0,13985.60000000149,124.39999999850988,possible_recovery_induced_split
2,2,15561.5,17489.40000000596,1927.9000000059605,11.22052609990061,165.93557592706654,16.49015716190148,163.64386466126024,147.15370749935875,196.59999999403954,239.90000000596046,277.30000000447035,145,0,4,3628.2000000029802,,19.399999998509884,17844.20000000298,354.79999999701977,possible_recovery_induced_split
3,3,19757,21256.40000000596,1499.4000000059605,23.39786809091096,167.47534101350746,28.89718227424977,162.6594589895008,133.76227671525103,632.6999999955297,349.40000000596046,350.20000000298023,193.09999999403954,0,6,3767,,0,21490.70000000298,234.29999999701977,possible_recovery_induced_split
4,4,22989.80000000447,24763.90000000596,1774.1000000014901,2.7337136959419195,167.68090862727166,19.97875266893803,164.31935309141426,144.34060042247623,193,316.80000000447035,856.1000000014901,290.20000000298023,0,9,3507.5,,126.30000000447035,25452,688.0999999940395,possible_recovery_induced_split|no_nearby_browser_rep_label
5,5,27000.40000000596,28483.80000000447,1483.3999999985099,15.956683050275483,166.5931893039339,16.46323260052848,164.73047126280412,148.26723866227564,226.60000000149012,187.39999999850988,344.8999999910593,99,0,8,3719.89999999851,,0,29402.30000000447,918.5,possible_recovery_induced_split|no_nearby_browser_rep_label
6,6,31009.10000000149,32929.30000000447,1920.2000000029802,15.976820172541283,167.03914001408043,16.233343483677924,164.08695104757905,147.85360756390114,194.79999999701977,362.1000000014901,332.5,187.60000000149012,0,5,4445.5,,140.79999999701977,33123.70000000298,194.39999999850988,possible_recovery_induced_split
7,7,44264.70000000298,46518.80000000447,2254.10000000149,12.9333308004062,170.43494140176108,13.346740091265584,161.07291856063435,147.72617846936876,192.89999999850988,1053.2000000029802,981.3999999985099,964.3999999985099,0,2,13589.5,1486.7999999970198,820,33123.70000000298,13395.10000000149,possible_recovery_induced_split|no_nearby_browser_rep_label|no_aligned_browser_rep_label
8,8,47321.60000000149,49272.60000000149,1951,12.433030637587601,163.46798509411553,12.97444720704123,162.22790170824237,149.25345450120113,184.5,195.60000000149012,504.80000000447035,283.6000000014901,0,6,2753.7999999970198,4543.69999999553,280.69999999552965,62188.20000000298,12915.60000000149,possible_recovery_induced_split|no_nearby_browser_rep_label|no_aligned_browser_rep_label
9,9,52365.90000000596,55022.80000000447,2656.89999999851,14.077573140080005,179.5021173202775,16.63073393616424,161.49920745580613,144.8684735196419,188.20000000298023,1146.7000000029802,1533.5999999940395,963.1000000014901,0,8,5750.20000000298,2073.8000000044703,344.70000000298023,62188.20000000298,7165.39999999851,possible_recovery_induced_split|no_nearby_browser_rep_label|no_aligned_browser_rep_label
10,10,60148.80000000447,61975.40000000596,1826.6000000014901,14.715206358652791,163.84067583212567,16.85095383376952,163.30158323755313,146.4506294037836,190.30000000447035,187.60000000149012,290.69999999552965,150.89999999850988,0,4,6952.60000000149,1583.6000000014901,228.80000000447035,62188.20000000298,212.79999999701977,possible_recovery_induced_split
11,11,63704.40000000596,65231.40000000596,1527,17.991257440585038,167.3417109942181,18.272668865443887,164.94535868499898,146.6726898195551,184,224.70000000298023,140.89999999850988,58.099999994039536,0,3,3256,5139.20000000298,184,65523.40000000596,292,possible_recovery_induced_split
12,12,67005.20000000298,68591.5,1586.2999999970198,18.03384821722824,166.10426176116363,18.23060990836209,164.49031956239818,146.2597096540361,194.70000000298023,291.8999999985099,356.19999999552965,160.10000000149012,0,4,3360.0999999940395,8440,122.10000000149012,68608.70000000298,17.200000002980232,possible_recovery_induced_split
13,13,69998.5,71587.70000000298,1589.2000000029802,19.18319614463411,167.01596021831887,19.60654002811549,165.5026827197659,145.8961426916504,184.39999999850988,182.70000000298023,384.20000000298023,160.39999999850988,0,5,2996.2000000029802,11433.29999999702,199.5,72543,955.2999999970198,possible_recovery_induced_split|no_nearby_browser_rep_label
